day,hour,festival,rain,weather,vehicle_count,traffic_density
Sunday,22,Diwali,1,Cloudy,196,0.398
Monday,18,Eid,0,Cloudy,1389,0.8945000000000001
Thursday,21,Ganesh Chaturthi,0,Clear,674,0.537
Monday,6,Christmas,0,Cloudy,358,0.379
Thursday,15,Ganesh Chaturthi,1,Rainy,1941,1.0
Tuesday,6,Eid,1,Cloudy,674,0.637
Monday,0,Diwali,1,Cloudy,1871,1.0
Monday,15,Eid,1,Rainy,1200,0.9
Monday,14,None,0,Rainy,667,0.3335
Friday,22,Diwali,1,Rainy,319,0.4595
Monday,21,Diwali,1,Rainy,1933,1.0
Saturday,4,Ganesh Chaturthi,1,Clear,1160,0.88
Monday,18,Diwali,0,Rainy,542,0.47100000000000003
Saturday,10,None,1,Rainy,1235,0.7175
Thursday,5,Christmas,0,Cloudy,1752,1.0
Tuesday,9,None,1,Rainy,1225,0.7125
Friday,4,Christmas,1,Cloudy,1489,1.0
Wednesday,13,Diwali,0,Cloudy,1047,0.7235
Monday,4,None,0,Rainy,1225,0.6125
Saturday,1,Diwali,1,Clear,1571,1.0
Tuesday,21,Diwali,1,Rainy,1661,1.0
Monday,4,Diwali,1,Clear,1564,1.0
Wednesday,16,Christmas,1,Clear,239,0.4195
Thursday,11,Ganesh Chaturthi,1,Clear,1060,0.83
Wednesday,12,Diwali,1,Clear,169,0.38450000000000006
Sunday,4,None,1,Clear,461,0.3305
Sunday,6,Eid,0,Clear,1498,0.9490000000000001
Wednesday,1,Ganesh Chaturthi,1,Cloudy,1152,0.876
Friday,1,Eid,1,Clear,1405,1.0
Wednesday,5,Diwali,1,Rainy,1436,1.0
Saturday,22,Eid,1,Cloudy,758,0.6789999999999999
Saturday,22,Ganesh Chaturthi,0,Clear,1878,1.0
Monday,14,Christmas,1,Rainy,468,0.534
Monday,19,Christmas,0,Clear,1668,1.0
Saturday,4,Eid,1,Rainy,157,0.37850000000000006
Sunday,7,Diwali,0,Rainy,1390,0.895
Thursday,18,Ganesh Chaturthi,0,Rainy,590,0.495
Sunday,7,None,1,Cloudy,1038,0.619
Thursday,6,Diwali,0,Rainy,1126,0.7629999999999999
Friday,10,Eid,0,Cloudy,718,0.5589999999999999
Wednesday,7,Eid,1,Rainy,1471,1.0
Saturday,0,Christmas,1,Cloudy,181,0.39049999999999996
Friday,18,Diwali,1,Rainy,837,0.7185
Friday,18,Christmas,1,Rainy,708,0.654
Tuesday,22,Ganesh Chaturthi,1,Cloudy,294,0.44699999999999995
Monday,5,Eid,0,Cloudy,817,0.6085
Monday,16,Diwali,0,Cloudy,1353,0.8765000000000001
Saturday,6,Diwali,1,Cloudy,1353,0.9765
Sunday,19,None,0,Cloudy,1680,0.84
Thursday,13,None,1,Cloudy,871,0.5355
Friday,5,Christmas,1,Rainy,1387,0.9934999999999999
Wednesday,11,None,1,Clear,1467,0.8335
Friday,5,Christmas,1,Rainy,979,0.7895
Thursday,11,Diwali,0,Clear,1579,0.9895
Wednesday,17,Ganesh Chaturthi,0,Cloudy,993,0.6965
Saturday,16,Eid,0,Rainy,1853,1.0
Thursday,19,Ganesh Chaturthi,1,Clear,1784,1.0
Friday,23,Diwali,0,Rainy,1926,1.0
Wednesday,23,None,1,Clear,1033,0.6164999999999999
Friday,20,Christmas,1,Clear,1818,1.0
Thursday,8,Eid,1,Clear,726,0.6629999999999999
Friday,21,Eid,1,Rainy,1071,0.8355
Thursday,2,Christmas,0,Cloudy,1438,0.919
Wednesday,0,Diwali,0,Rainy,1834,1.0
Wednesday,6,Ganesh Chaturthi,1,Rainy,669,0.6345
Friday,19,Eid,0,Cloudy,368,0.384
Saturday,15,Ganesh Chaturthi,0,Clear,1079,0.7395
Tuesday,13,Diwali,1,Clear,560,0.5800000000000001
Saturday,0,Ganesh Chaturthi,0,Clear,1761,1.0
Wednesday,6,Christmas,0,Cloudy,1352,0.8760000000000001
Monday,22,Diwali,0,Clear,145,0.2725
Sunday,20,Ganesh Chaturthi,1,Clear,404,0.502
Friday,0,None,1,Cloudy,221,0.21050000000000002
Tuesday,17,Christmas,1,Rainy,1286,0.943
Wednesday,17,Ganesh Chaturthi,1,Cloudy,197,0.39849999999999997
Monday,19,Diwali,1,Cloudy,1164,0.882
Tuesday,13,None,1,Rainy,1079,0.6395
Monday,22,None,0,Rainy,377,0.1885
Thursday,9,Eid,1,Clear,1216,0.908
Thursday,14,None,0,Cloudy,252,0.126
Tuesday,13,Christmas,1,Clear,1867,1.0
Monday,9,Diwali,0,Clear,879,0.6395
Thursday,9,Eid,0,Clear,244,0.322
Sunday,3,Ganesh Chaturthi,1,Clear,1828,1.0
Monday,21,Ganesh Chaturthi,1,Clear,754,0.6769999999999999
Friday,21,Ganesh Chaturthi,1,Clear,822,0.711
Sunday,17,Diwali,0,Clear,1196,0.798
Monday,5,Ganesh Chaturthi,1,Clear,944,0.7719999999999999
Wednesday,1,Ganesh Chaturthi,0,Cloudy,339,0.36950000000000005
Monday,9,Eid,0,Clear,780,0.5900000000000001
Saturday,14,Ganesh Chaturthi,1,Cloudy,527,0.5635
Wednesday,11,Christmas,1,Clear,1689,1.0
Tuesday,12,Christmas,0,Clear,1402,0.901
Monday,18,Diwali,0,Rainy,1832,1.0
Thursday,5,Eid,1,Rainy,1484,1.0
Friday,1,Ganesh Chaturthi,1,Rainy,869,0.7345
Monday,2,Ganesh Chaturthi,0,Rainy,145,0.2725
Monday,6,Christmas,1,Cloudy,1688,1.0
Thursday,14,Ganesh Chaturthi,0,Clear,1477,0.9385000000000001
Friday,1,Ganesh Chaturthi,1,Clear,385,0.49250000000000005
Wednesday,12,Ganesh Chaturthi,1,Cloudy,392,0.496
Wednesday,15,Diwali,1,Rainy,1722,1.0
Friday,10,Ganesh Chaturthi,1,Cloudy,588,0.594
Sunday,11,None,0,Cloudy,1895,0.9475
Thursday,2,Eid,0,Rainy,494,0.447
Friday,1,Diwali,1,Clear,1602,1.0
Saturday,19,None,1,Clear,304,0.252
Thursday,13,None,1,Clear,339,0.2695
Saturday,2,Christmas,0,Clear,976,0.688
Tuesday,18,Diwali,0,Rainy,1993,1.0
Sunday,13,Eid,0,Rainy,832,0.616
Thursday,13,Ganesh Chaturthi,0,Rainy,1808,1.0
Wednesday,9,Christmas,1,Cloudy,1877,1.0
Tuesday,0,Diwali,1,Cloudy,722,0.6609999999999999
Monday,21,Christmas,1,Cloudy,1830,1.0
Wednesday,19,Ganesh Chaturthi,1,Cloudy,733,0.6665
Wednesday,15,Diwali,0,Clear,1117,0.7585
Sunday,3,None,1,Cloudy,121,0.1605
Monday,9,Eid,1,Clear,1065,0.8324999999999999
Monday,18,Christmas,1,Cloudy,458,0.529
Thursday,1,None,1,Rainy,422,0.311
Monday,8,Diwali,0,Clear,1464,0.9319999999999999
Saturday,1,Diwali,1,Rainy,1173,0.8865
Monday,0,Ganesh Chaturthi,0,Clear,1624,1.0
Monday,7,Diwali,1,Cloudy,350,0.475
Sunday,17,Diwali,1,Cloudy,1832,1.0
Friday,0,None,1,Clear,1600,0.9
Thursday,11,Christmas,1,Rainy,1625,1.0
Tuesday,6,Christmas,0,Clear,1561,0.9804999999999999
Wednesday,20,Ganesh Chaturthi,1,Rainy,1462,1.0
Wednesday,16,None,0,Rainy,1197,0.5985
Monday,18,Christmas,1,Clear,570,0.585
Tuesday,15,Ganesh Chaturthi,1,Cloudy,1916,1.0
Monday,1,Diwali,0,Rainy,629,0.5145
Saturday,17,None,0,Cloudy,309,0.1545
Sunday,16,Eid,1,Cloudy,543,0.5715
Saturday,13,None,0,Cloudy,1485,0.7425
Sunday,23,Eid,0,Cloudy,1484,0.942
Wednesday,11,Eid,1,Cloudy,1150,0.8749999999999999
Saturday,2,Christmas,0,Rainy,1641,1.0
Saturday,8,Christmas,0,Clear,1518,0.9590000000000001
Thursday,8,Diwali,1,Rainy,1355,0.9774999999999999
Friday,4,Christmas,0,Rainy,210,0.305
Monday,22,Diwali,1,Cloudy,1298,0.949
Thursday,21,Diwali,0,Rainy,901,0.6505000000000001
Wednesday,13,None,0,Rainy,1511,0.7555
Tuesday,9,Eid,1,Rainy,1231,0.9155000000000001
Friday,12,Ganesh Chaturthi,1,Rainy,1896,1.0
Friday,14,Diwali,1,Rainy,1858,1.0
Sunday,16,Diwali,0,Rainy,1284,0.8420000000000001
Thursday,17,None,0,Clear,1250,0.625
Sunday,5,Diwali,1,Cloudy,1828,1.0
Thursday,10,Christmas,1,Cloudy,1138,0.8689999999999999
Sunday,21,Diwali,0,Clear,1985,1.0
Friday,12,Diwali,1,Rainy,1084,0.842
Tuesday,2,Diwali,0,Rainy,606,0.503
Sunday,19,Diwali,0,Rainy,900,0.65
Saturday,12,Diwali,1,Clear,287,0.4435
Sunday,23,Eid,1,Rainy,1821,1.0
Friday,22,None,1,Cloudy,1715,0.9575
Friday,4,Ganesh Chaturthi,0,Cloudy,990,0.6950000000000001
Monday,11,Diwali,1,Clear,985,0.7925
Sunday,17,None,0,Clear,1425,0.7125
Sunday,13,None,0,Cloudy,1995,0.9975
Friday,6,Ganesh Chaturthi,0,Clear,532,0.466
Tuesday,0,Christmas,1,Rainy,1139,0.8695
Friday,6,Christmas,0,Rainy,190,0.29500000000000004
Tuesday,18,Christmas,1,Cloudy,1204,0.902
Sunday,20,Ganesh Chaturthi,0,Clear,926,0.663
Wednesday,4,Eid,0,Clear,1758,1.0
Tuesday,23,Christmas,0,Clear,1587,0.9935
Saturday,4,None,0,Cloudy,236,0.118
Thursday,6,Ganesh Chaturthi,0,Cloudy,777,0.5885
Saturday,1,Diwali,1,Clear,163,0.38150000000000006
Tuesday,5,Diwali,0,Cloudy,1346,0.873
Wednesday,6,Christmas,0,Cloudy,229,0.3145
Wednesday,1,Ganesh Chaturthi,1,Cloudy,1878,1.0
Friday,18,None,1,Rainy,1093,0.6465
Tuesday,11,Christmas,1,Rainy,337,0.4685
Wednesday,4,Christmas,0,Rainy,194,0.29700000000000004
Thursday,12,None,0,Rainy,538,0.269
Friday,7,Diwali,0,Cloudy,1672,1.0
Friday,0,Eid,0,Cloudy,1195,0.7975000000000001
Saturday,1,Ganesh Chaturthi,0,Cloudy,1239,0.8195000000000001
Monday,2,Diwali,0,Cloudy,1993,1.0
Thursday,16,Diwali,1,Rainy,1950,1.0
Tuesday,7,Ganesh Chaturthi,0,Clear,346,0.373
Tuesday,8,Ganesh Chaturthi,1,Cloudy,1680,1.0
Friday,11,Diwali,0,Rainy,477,0.4385
Friday,19,Ganesh Chaturthi,0,Cloudy,786,0.593
Thursday,22,None,0,Clear,757,0.3785
Tuesday,5,Eid,1,Cloudy,723,0.6615
Monday,14,Eid,1,Cloudy,770,0.6849999999999999
Friday,17,Eid,1,Clear,842,0.721
Tuesday,20,Diwali,1,Clear,1909,1.0
Thursday,11,None,0,Rainy,197,0.0985
Wednesday,1,None,0,Clear,1805,0.9025
Thursday,20,None,1,Clear,529,0.36450000000000005
Monday,3,None,0,Rainy,1729,0.8645
Thursday,3,None,0,Cloudy,1912,0.956
Monday,5,None,1,Rainy,620,0.41000000000000003
Sunday,20,Diwali,1,Cloudy,735,0.6675
Sunday,22,Diwali,0,Cloudy,1593,0.9964999999999999
Friday,7,None,1,Cloudy,427,0.3135
Tuesday,17,Ganesh Chaturthi,1,Rainy,200,0.4
Tuesday,1,None,1,Clear,1657,0.9285
Thursday,23,Diwali,0,Rainy,1310,0.855
Thursday,1,None,1,Rainy,718,0.45899999999999996
Friday,0,Eid,1,Clear,878,0.739
Thursday,8,Eid,1,Rainy,265,0.4325
Thursday,0,Eid,1,Rainy,327,0.4635
Thursday,6,None,1,Cloudy,482,0.34099999999999997
Thursday,3,Diwali,0,Rainy,314,0.357
Tuesday,0,Diwali,1,Rainy,562,0.5810000000000001
Tuesday,2,Christmas,0,Cloudy,1525,0.9624999999999999
Sunday,11,Christmas,1,Cloudy,1936,1.0
Thursday,14,Diwali,0,Clear,836,0.618
Wednesday,8,Ganesh Chaturthi,0,Cloudy,1390,0.895
Friday,20,Christmas,1,Clear,178,0.389
Tuesday,22,Eid,0,Cloudy,1480,0.94
Thursday,13,Christmas,1,Rainy,1536,1.0
Saturday,0,Ganesh Chaturthi,1,Clear,214,0.40700000000000003
Saturday,17,Ganesh Chaturthi,1,Cloudy,551,0.5755
Thursday,22,Christmas,0,Rainy,1630,1.0
Sunday,21,Christmas,1,Rainy,1001,0.8004999999999999
Monday,15,Christmas,0,Cloudy,1932,1.0
Sunday,2,None,0,Cloudy,1443,0.7215
Monday,1,Christmas,0,Clear,348,0.374
Sunday,5,Diwali,1,Cloudy,140,0.37
Saturday,21,Diwali,1,Cloudy,1848,1.0
Sunday,0,None,0,Rainy,288,0.144
Saturday,3,Diwali,0,Cloudy,1175,0.7875000000000001
Tuesday,20,Ganesh Chaturthi,0,Rainy,1964,1.0
Friday,6,None,1,Cloudy,384,0.29200000000000004
Thursday,12,Christmas,1,Cloudy,1402,1.0
Sunday,15,Ganesh Chaturthi,1,Rainy,1811,1.0
Friday,17,Diwali,1,Cloudy,661,0.6305
Sunday,7,Ganesh Chaturthi,1,Cloudy,1867,1.0
Tuesday,22,Diwali,1,Clear,1402,1.0
Tuesday,7,None,0,Rainy,810,0.405
Friday,6,Christmas,0,Cloudy,1659,1.0
Monday,20,Diwali,1,Rainy,1547,1.0
Friday,17,Christmas,1,Cloudy,1087,0.8435
Thursday,6,None,0,Rainy,1554,0.777
Tuesday,21,Christmas,1,Rainy,1504,1.0
Thursday,11,Diwali,1,Clear,811,0.7055
Saturday,20,None,1,Cloudy,1138,0.6689999999999999
Tuesday,8,Eid,1,Cloudy,1056,0.828
Thursday,10,Christmas,0,Cloudy,551,0.47550000000000003
Saturday,21,Diwali,0,Clear,978,0.6890000000000001
Friday,17,Diwali,0,Clear,262,0.331
Wednesday,20,None,1,Cloudy,1923,1.0
Monday,9,Diwali,1,Cloudy,139,0.36950000000000005
Saturday,10,Ganesh Chaturthi,0,Clear,990,0.6950000000000001
Saturday,1,Diwali,1,Rainy,236,0.41800000000000004
Wednesday,6,Diwali,0,Cloudy,1357,0.8785000000000001
Monday,5,None,0,Clear,1604,0.802
Friday,18,Ganesh Chaturthi,0,Clear,1539,0.9695
Sunday,5,Christmas,1,Cloudy,1762,1.0
Monday,1,Eid,0,Clear,984,0.692
Thursday,11,Ganesh Chaturthi,0,Cloudy,359,0.3795
Monday,8,Christmas,1,Rainy,325,0.4625
Monday,13,Ganesh Chaturthi,0,Clear,1430,0.915
Monday,8,Eid,1,Clear,1855,1.0
Thursday,2,Diwali,1,Cloudy,1338,0.969
Saturday,17,Christmas,1,Clear,238,0.41900000000000004
Monday,22,Christmas,1,Clear,1827,1.0
Wednesday,19,Christmas,0,Rainy,1446,0.923
Saturday,14,None,1,Clear,1815,1.0
Tuesday,3,Christmas,0,Clear,248,0.324
Tuesday,15,Diwali,1,Rainy,536,0.5680000000000001
Tuesday,3,Christmas,1,Rainy,620,0.61
Thursday,13,None,1,Cloudy,1386,0.7929999999999999
Sunday,14,Christmas,0,Cloudy,448,0.42400000000000004
Wednesday,11,Christmas,0,Cloudy,155,0.2775
Wednesday,5,Diwali,0,Clear,788,0.5940000000000001
Wednesday,1,Ganesh Chaturthi,0,Clear,637,0.5185
Friday,6,Diwali,1,Rainy,231,0.4155
Saturday,10,Diwali,1,Clear,1101,0.8504999999999999
Wednesday,11,Christmas,0,Rainy,812,0.6060000000000001
Monday,7,Diwali,0,Cloudy,878,0.639
Wednesday,14,Diwali,1,Clear,1810,1.0
Wednesday,11,Christmas,1,Clear,1649,1.0
Saturday,18,None,1,Rainy,542,0.371
Thursday,19,Eid,0,Cloudy,965,0.6825
Sunday,9,Diwali,1,Clear,1874,1.0
Friday,10,Eid,1,Clear,218,0.40900000000000003
Friday,5,Diwali,0,Clear,1874,1.0
Sunday,12,Diwali,1,Clear,890,0.745
Saturday,10,Eid,0,Clear,1058,0.7290000000000001
Saturday,11,Christmas,0,Clear,1622,1.0
Wednesday,9,Christmas,1,Clear,939,0.7695
Saturday,5,Ganesh Chaturthi,0,Clear,269,0.3345
Monday,1,Ganesh Chaturthi,1,Cloudy,822,0.711
Tuesday,4,Christmas,0,Rainy,1352,0.8760000000000001
Tuesday,19,Eid,1,Cloudy,238,0.41900000000000004
Tuesday,19,Diwali,1,Cloudy,955,0.7775
Tuesday,6,Christmas,0,Rainy,119,0.2595
Wednesday,3,Christmas,0,Rainy,1603,1.0
Friday,3,Eid,0,Rainy,1596,0.998
Monday,17,Eid,1,Rainy,1176,0.888
Tuesday,16,Ganesh Chaturthi,0,Clear,1758,1.0
Wednesday,2,Christmas,1,Clear,1570,1.0
Monday,11,Eid,0,Cloudy,1902,1.0
Wednesday,3,Diwali,0,Cloudy,1551,0.9755
Friday,21,Eid,0,Rainy,701,0.5505
Wednesday,23,Ganesh Chaturthi,0,Rainy,601,0.5005
Friday,20,Eid,1,Rainy,1281,0.9405
Friday,1,Diwali,0,Rainy,470,0.435
Saturday,9,Christmas,1,Rainy,1891,1.0
Wednesday,2,None,0,Rainy,1848,0.924
Saturday,11,None,0,Rainy,598,0.299
Sunday,14,Diwali,1,Clear,1437,1.0
Saturday,10,Ganesh Chaturthi,1,Rainy,361,0.48050000000000004
Monday,8,Diwali,1,Cloudy,160,0.38
Tuesday,19,Christmas,1,Clear,690,0.6449999999999999
Thursday,17,Ganesh Chaturthi,1,Cloudy,1050,0.8250000000000001
Saturday,19,Eid,0,Clear,1604,1.0
Wednesday,21,Eid,0,Clear,1079,0.7395
Wednesday,19,Christmas,0,Cloudy,1716,1.0
Monday,3,Christmas,1,Clear,422,0.511
Sunday,6,Diwali,1,Clear,1948,1.0
Wednesday,4,Christmas,1,Rainy,1648,1.0
Monday,23,Christmas,1,Clear,1099,0.8495
Thursday,20,Christmas,1,Rainy,1221,0.9105
Wednesday,10,Ganesh Chaturthi,1,Clear,222,0.41100000000000003
Saturday,8,Diwali,0,Clear,1022,0.7110000000000001
Monday,18,Eid,1,Clear,1899,1.0
Saturday,18,Christmas,0,Clear,1085,0.7424999999999999
Sunday,21,None,1,Clear,1978,1.0
Thursday,4,Ganesh Chaturthi,0,Clear,1027,0.7135
Thursday,11,None,1,Clear,1933,1.0
Sunday,21,Christmas,1,Clear,1091,0.8455
Thursday,4,Diwali,1,Cloudy,1129,0.8644999999999999
Friday,23,None,0,Cloudy,512,0.256
Saturday,3,Christmas,0,Rainy,643,0.5215000000000001
Saturday,22,None,0,Cloudy,416,0.208
Tuesday,0,None,1,Cloudy,1283,0.7414999999999999
Wednesday,1,Diwali,1,Rainy,586,0.593
Wednesday,8,Diwali,0,Cloudy,802,0.601
Thursday,13,Diwali,1,Clear,1226,0.9129999999999999
Monday,4,Ganesh Chaturthi,0,Rainy,1358,0.879
Thursday,18,Eid,0,Rainy,595,0.4975
Thursday,19,None,1,Rainy,1934,1.0
Thursday,3,Eid,1,Clear,416,0.508
Friday,6,Christmas,0,Rainy,1026,0.7130000000000001
Tuesday,22,Christmas,1,Cloudy,1694,1.0
Friday,19,Eid,0,Clear,1049,0.7244999999999999
Wednesday,20,Christmas,0,Cloudy,754,0.577
Sunday,5,Eid,1,Cloudy,1401,1.0
Thursday,11,Eid,1,Cloudy,538,0.5690000000000001
Monday,20,Christmas,1,Rainy,441,0.5205
Wednesday,1,Eid,1,Rainy,925,0.7625000000000001
Saturday,8,Eid,1,Rainy,141,0.37050000000000005
Thursday,13,Ganesh Chaturthi,1,Rainy,918,0.759
Saturday,17,Eid,0,Clear,274,0.337
Saturday,17,Christmas,0,Rainy,524,0.462
Wednesday,11,None,1,Cloudy,1117,0.6585
Tuesday,23,Eid,0,Clear,671,0.5355000000000001
Wednesday,13,Christmas,1,Clear,1565,1.0
Wednesday,21,Ganesh Chaturthi,1,Cloudy,268,0.43400000000000005
Monday,3,Ganesh Chaturthi,1,Cloudy,1365,0.9825
Wednesday,11,Eid,1,Rainy,432,0.516
Saturday,22,None,1,Clear,1028,0.614
Thursday,2,Ganesh Chaturthi,0,Cloudy,631,0.5155000000000001
Tuesday,11,Ganesh Chaturthi,1,Clear,1907,1.0
Tuesday,2,Ganesh Chaturthi,1,Rainy,1818,1.0
Saturday,8,None,1,Clear,1370,0.785
Monday,4,Eid,1,Clear,450,0.525
Sunday,16,Eid,0,Clear,1260,0.8300000000000001
Wednesday,15,Diwali,1,Cloudy,1299,0.9494999999999999
Thursday,21,Christmas,0,Clear,864,0.632
Monday,4,Ganesh Chaturthi,0,Clear,1672,1.0
Tuesday,2,Eid,0,Clear,1920,1.0
Saturday,20,Eid,0,Rainy,1161,0.7805
Monday,14,Christmas,1,Cloudy,725,0.6625
Sunday,0,None,1,Clear,193,0.1965
Wednesday,20,None,0,Clear,1649,0.8245
Tuesday,14,None,1,Cloudy,1641,0.9205
Friday,5,Eid,1,Cloudy,245,0.4225
Monday,16,Christmas,0,Clear,621,0.5105
Sunday,9,Eid,1,Rainy,1210,0.9049999999999999
Thursday,15,Ganesh Chaturthi,1,Rainy,1582,1.0
Tuesday,13,Diwali,1,Rainy,916,0.758
Sunday,5,Christmas,0,Clear,261,0.3305
Thursday,23,Ganesh Chaturthi,1,Rainy,1152,0.876
Saturday,21,None,1,Clear,1038,0.619
Saturday,10,Ganesh Chaturthi,0,Clear,1280,0.8400000000000001
Monday,20,Ganesh Chaturthi,0,Clear,1667,1.0
Monday,2,Diwali,0,Cloudy,441,0.4205
Sunday,8,Eid,0,Clear,1125,0.7625
Thursday,13,Ganesh Chaturthi,1,Cloudy,831,0.7154999999999999
Monday,21,Diwali,0,Cloudy,339,0.36950000000000005
Wednesday,5,Diwali,0,Clear,680,0.54
Monday,4,Eid,1,Cloudy,1316,0.9580000000000001
Thursday,12,Ganesh Chaturthi,0,Cloudy,1168,0.784
Sunday,19,Diwali,0,Cloudy,170,0.28500000000000003
Tuesday,4,None,1,Rainy,1288,0.744
Saturday,12,Christmas,0,Rainy,670,0.535
Thursday,5,Eid,1,Clear,976,0.7879999999999999
Monday,6,Ganesh Chaturthi,0,Cloudy,1301,0.8505
Wednesday,14,Ganesh Chaturthi,1,Cloudy,1930,1.0
Monday,11,Christmas,0,Cloudy,1432,0.9159999999999999
Sunday,9,Ganesh Chaturthi,1,Rainy,637,0.6184999999999999
Wednesday,14,Eid,0,Cloudy,1650,1.0
Monday,0,Eid,0,Clear,1107,0.7535000000000001
Monday,19,Christmas,1,Rainy,1936,1.0
Sunday,22,Christmas,1,Rainy,1198,0.8989999999999999
Saturday,11,Ganesh Chaturthi,1,Rainy,935,0.7675
Monday,14,Eid,1,Clear,368,0.484
Friday,12,Christmas,0,Rainy,407,0.40349999999999997
Wednesday,20,None,1,Rainy,1692,0.946
Saturday,8,Eid,1,Clear,762,0.6809999999999999
Tuesday,1,Ganesh Chaturthi,0,Rainy,271,0.3355
Friday,18,Christmas,0,Rainy,773,0.5865
Sunday,9,Diwali,1,Clear,1612,1.0
Friday,7,None,0,Clear,117,0.0585
Monday,7,None,1,Clear,1615,0.9075
Sunday,21,Christmas,1,Clear,820,0.71
Tuesday,5,None,0,Cloudy,630,0.315
Wednesday,0,Christmas,0,Cloudy,1624,1.0
Saturday,10,Christmas,0,Clear,1697,1.0
Saturday,17,Ganesh Chaturthi,0,Clear,1681,1.0
Sunday,13,None,1,Cloudy,1622,0.911
Saturday,1,Ganesh Chaturthi,0,Clear,577,0.4885
Saturday,12,None,1,Cloudy,1524,0.862
Sunday,18,Diwali,1,Clear,697,0.6485
Friday,19,Diwali,0,Cloudy,817,0.6085
Tuesday,18,Diwali,0,Clear,315,0.35750000000000004
Wednesday,17,Eid,1,Cloudy,825,0.7125
Monday,19,None,0,Cloudy,483,0.2415
Tuesday,10,Eid,0,Clear,1388,0.8939999999999999
Monday,1,Ganesh Chaturthi,1,Cloudy,148,0.374
Sunday,18,None,0,Clear,1687,0.8435
Thursday,15,Eid,0,Cloudy,200,0.30000000000000004
Tuesday,8,Ganesh Chaturthi,1,Cloudy,104,0.352
Wednesday,13,Eid,1,Cloudy,943,0.7715
Tuesday,21,Eid,1,Rainy,1359,0.9794999999999999
Monday,3,Eid,1,Clear,1642,1.0
Sunday,18,Christmas,1,Clear,1844,1.0
Sunday,10,Christmas,0,Cloudy,1461,0.9305000000000001
Friday,11,Eid,1,Rainy,1393,0.9965
Friday,7,Ganesh Chaturthi,1,Clear,1014,0.807
Sunday,4,Christmas,0,Cloudy,1733,1.0
Wednesday,17,Eid,0,Clear,252,0.326
Wednesday,16,None,0,Cloudy,657,0.3285
Saturday,1,Eid,1,Cloudy,177,0.38849999999999996
Tuesday,0,None,1,Clear,916,0.558
Thursday,7,None,1,Rainy,746,0.473
Thursday,14,Eid,1,Cloudy,1902,1.0
Monday,0,Ganesh Chaturthi,0,Clear,576,0.488
Wednesday,6,Diwali,1,Cloudy,1167,0.8835000000000001
Saturday,6,Eid,1,Clear,934,0.767
Tuesday,9,Ganesh Chaturthi,0,Cloudy,1961,1.0
Sunday,11,Ganesh Chaturthi,1,Cloudy,1184,0.892
Sunday,5,Diwali,0,Cloudy,1560,0.98
Thursday,8,Eid,1,Rainy,250,0.42500000000000004
Monday,12,None,1,Rainy,1774,0.987
Wednesday,17,None,0,Cloudy,1700,0.85
Monday,1,Diwali,1,Cloudy,207,0.40349999999999997
Tuesday,23,None,0,Clear,1203,0.6015
Friday,5,Eid,1,Clear,1400,0.9999999999999999
Monday,6,Christmas,0,Cloudy,291,0.34550000000000003
Sunday,6,Ganesh Chaturthi,0,Cloudy,1571,0.9855
Saturday,4,None,0,Rainy,285,0.1425
Wednesday,21,None,1,Rainy,1239,0.7195
Friday,12,Eid,1,Clear,904,0.752
Monday,18,None,0,Clear,1138,0.569
Friday,21,Ganesh Chaturthi,0,Rainy,594,0.497
Thursday,13,Ganesh Chaturthi,0,Clear,1713,1.0
Tuesday,8,Eid,0,Cloudy,999,0.6995
Tuesday,0,Ganesh Chaturthi,1,Cloudy,1004,0.8019999999999999
Wednesday,5,Christmas,1,Cloudy,1590,1.0
Monday,3,Ganesh Chaturthi,1,Clear,1481,1.0
Thursday,4,Diwali,1,Clear,1428,1.0
Thursday,5,Ganesh Chaturthi,1,Rainy,534,0.5670000000000001
Wednesday,4,Ganesh Chaturthi,1,Clear,676,0.638
Wednesday,4,Diwali,0,Clear,442,0.42100000000000004
Wednesday,22,Diwali,1,Rainy,1638,1.0
Friday,1,Eid,1,Rainy,484,0.542
Saturday,12,Ganesh Chaturthi,1,Clear,704,0.652
Thursday,9,Diwali,0,Cloudy,1236,0.8180000000000001
Saturday,1,None,1,Clear,1229,0.7145
Monday,14,None,0,Rainy,717,0.3585
Monday,20,Christmas,1,Clear,1899,1.0
Saturday,14,Christmas,0,Clear,421,0.4105
Saturday,7,Christmas,1,Cloudy,975,0.7875
Saturday,15,None,1,Clear,976,0.588
Thursday,11,None,1,Clear,108,0.154
Monday,8,Ganesh Chaturthi,1,Clear,166,0.383
Tuesday,11,Diwali,0,Clear,1237,0.8185
Tuesday,18,None,0,Cloudy,1508,0.754
Tuesday,23,None,1,Rainy,312,0.256
Friday,8,Eid,1,Rainy,238,0.41900000000000004
Tuesday,8,Eid,0,Clear,457,0.4285
Sunday,22,Christmas,0,Clear,354,0.377
Monday,5,Christmas,0,Rainy,410,0.405
Thursday,15,Ganesh Chaturthi,1,Rainy,304,0.45199999999999996
Wednesday,4,Ganesh Chaturthi,0,Clear,1999,1.0
Friday,1,Eid,1,Rainy,1534,1.0
Wednesday,12,None,0,Clear,695,0.3475
Wednesday,5,Eid,0,Cloudy,975,0.6875
Monday,9,Christmas,1,Rainy,1631,1.0
Monday,14,None,1,Cloudy,1439,0.8195
Tuesday,21,Eid,0,Cloudy,1574,0.9870000000000001
Thursday,19,Christmas,0,Rainy,1958,1.0
